Name,City,Country
Name,City,Country
Barter Island LRRS Airport,Barter Island,United States
Wainwright Air Station,Fort Wainwright,United States
Cape Lisburne LRRS Airport,Cape Lisburne,United States
Point Lay LRRS Airport,Point Lay,United States
Hilo International Airport,Hilo,United States
Orlando Executive Airport,Orlando,United States
Bettles Airport,Bettles,United States
Clear Airport,Clear Mews,United States
Indian Mountain LRRS Airport,Indian Mountains,United States
Fort Yukon Airport,Fort Yukon,United States
Sparrevohn LRRS Airport,Sparrevohn,United States
Bryant Army Heliport,Fort Richardson,United States
Tatalina LRRS Airport,Tatalina,United States
Cape Romanzof LRRS Airport,Cape Romanzof,United States
Laurence G Hanscom Field,Bedford,United States
St Paul Island Airport,St. Paul Island,United States
Cape Newenham LRRS Airport,Cape Newenham,United States
St George Airport,Point Barrow,United States
Iliamna Airport,Iliamna,United States
Platinum Airport,Port Moller,United States
Big Mountain Airport,Big Mountain,United States
Oscoda Wurtsmith Airport,Oscoda,United States
Marina Municipal Airport,Fort Ord,United States
Sacramento Mather Airport,Sacramento,United States
Bicycle Lake Army Air Field,Fort Irwin,United States
Twentynine Palms (Self) Airport,Twenty Nine Palms,United States
Fort Smith Regional Airport,Fort Smith,United States
Merrill Field,Anchorage,United States
Grants-Milan Municipal Airport,Grants,United States
Ponca City Regional Airport,Ponca City,United States
Hunter Army Air Field,Hunter Aaf,United States
Grand Forks International Airport,Grand Forks,United States
"Pine Bluff Regional Airport, Grider Field",Pine Bluff,United States
Whiting Field Naval Air Station - North,Milton,United States
Hana Airport,Hana,United States
Ernest A. Love Field,Prescott,United States
Trenton Mercer Airport,Trenton,United States
General Edward Lawrence Logan International Airport,Boston,United States
Travis Air Force Base,Fairfield,United States
Griffiss International Airport,Rome,United States
Wendover Airport,Wendover,United States
Mobile Downtown Airport,Mobile,United States
Metropolitan Oakland International Airport,Oakland,United States
Eppley Airfield,Omaha,United States
Port Angeles Cgas Airport,Port Angeles,United States
Kahului Airport,Kahului,United States
Wichita Eisenhower National Airport,Wichita,United States
Kansas City International Airport,Kansas City,United States
Dane County Regional Truax Field,Madison,United States
Dillingham Airport,Dillingham,United States
Boone County Airport,Harrison,United States
Phoenix Sky Harbor International Airport,Phoenix,United States
Bangor International Airport,Bangor,United States
Fort Lauderdale Executive Airport,Fort Lauderdale,United States
East Texas Regional Airport,Longview,United States
Anderson Regional Airport,Andersen,United States
Spokane International Airport,Spokane,United States
North Perry Airport,Hollywood,United States
San Francisco International Airport,San Francisco,United States
Cut Bank International Airport,Cutbank,United States
Acadiana Regional Airport,Louisiana,United States
Gainesville Regional Airport,Gainesville,United States
Memphis International Airport,Memphis,United States
Bisbee Douglas International Airport,Douglas,United States
Allen Army Airfield,Delta Junction,United States
TSTC Waco Airport,Waco,United States
Annette Island Airport,Annette Island,United States
Caribou Municipal Airport,Caribou,United States
Little Rock Air Force Base,Jacksonville,United States
Redstone Army Air Field,Redstone,United States
Pope Field,Fort Bragg,United States
Dalhart Municipal Airport,Dalhart,United States
DLF Airport,Del Rio,United States
Los Angeles International Airport,Los Angeles,United States
Anniston Regional Airport,Anniston,United States
Cleveland Hopkins International Airport,Cleveland,United States
Dover Air Force Base,Dover,United States
Cincinnati Northern Kentucky International Airport,Cincinnati,United States
Tipton Airport,Fort Meade,United States
China Lake Naws (Armitage Field) Airport,China Lake,United States
Huron Regional Airport,Huron,United States
Juneau International Airport,Juneau,United States
Lafayette Regional Airport,Lafayette,United States
Newark Liberty International Airport,Newark,United States
Boise Air Terminal/Gowen Field,Boise,United States
Creech Air Force Base,Indian Springs,United States
Garden City Regional Airport,Garden City,United States
Minot International Airport,Minot,United States
Wheeler Army Airfield,Wahiawa,United States
Maxwell Air Force Base,Montgomery,United States
